date,price
2021-02-13 09:00:00,-1
2021-02-14 09:00:00,1
2021-02-15 09:00:00,-1
2021-02-16 09:00:00,1
2021-02-17 09:00:00,1
2021-02-18 09:00:00,1
2021-02-19 09:00:00,1
2021-02-20 09:00:00,1
2021-02-21 09:00:00,1
2021-02-22 09:00:00,-1
2021-02-23 09:00:00,-1
2021-02-24 09:00:00,1
2021-02-25 09:00:00,-1
2021-02-26 09:00:00,-1
2021-02-27 09:00:00,-1
2021-02-28 09:00:00,-1
2021-03-1 09:00:00,1
2021-03-2 09:00:00,-1
2021-03-3 09:00:00,1
2021-03-4 09:00:00,-1
2021-03-5 09:00:00,1
2021-03-6 09:00:00,-1
2021-03-7 09:00:00,1
2021-03-8 09:00:00,1
2021-03-9 09:00:00,1
2021-03-10 09:00:00,1
2021-03-11 09:00:00,1
2021-03-12 09:00:00,1
2021-03-13 09:00:00,1
2021-03-14 09:00:00,-1
2021-03-15 09:00:00,-1
2021-03-16 09:00:00,1
2021-03-17 09:00:00,1
2021-03-18 09:00:00,-1
2021-03-19 09:00:00,1
2021-03-20 09:00:00,-1
2021-03-21 09:00:00,-1
2021-03-22 09:00:00,-1
2021-03-23 09:00:00,1
2021-03-24 09:00:00,-1
2021-03-25 09:00:00,-1
2021-03-26 09:00:00,1
2021-03-27 09:00:00,1
2021-03-28 09:00:00,1
2021-03-29 09:00:00,1
2021-03-30 09:00:00,1
2021-03-31 09:00:00,1
2021-04-1 09:00:00,1
2021-04-2 09:00:00,1
2021-04-3 09:00:00,-1
2021-04-4 09:00:00,1
2021-04-5 09:00:00,1
2021-04-6 09:00:00,-1
2021-04-7 09:00:00,-1
2021-04-8 09:00:00,1
2021-04-9 09:00:00,1
2021-04-10 09:00:00,1
2021-04-11 09:00:00,1
2021-04-12 09:00:00,-1
2021-04-13 09:00:00,1
2021-04-14 09:00:00,-1
2021-04-15 09:00:00,-1
2021-04-16 09:00:00,-1
2021-04-17 09:00:00,-1
2021-04-18 09:00:00,-1
2021-04-19 09:00:00,-1
2021-04-20 09:00:00,-1
2021-04-21 09:00:00,-1
2021-04-22 09:00:00,-1
2021-04-23 09:00:00,1
2021-04-24 09:00:00,-1
2021-04-25 09:00:00,-1
2021-04-26 09:00:00,1
2021-04-27 09:00:00,1
2021-04-28 09:00:00,-1
2021-04-29 09:00:00,-1
2021-04-30 09:00:00,1
2021-05-1 09:00:00,1
2021-05-2 09:00:00,-1
2021-05-3 09:00:00,1
2021-05-4 09:00:00,-1
2021-05-5 09:00:00,1
2021-05-6 09:00:00,1
2021-05-7 09:00:00,-1
2021-05-8 09:00:00,1
2021-05-9 09:00:00,-1
2021-05-10 09:00:00,-1
2021-05-11 09:00:00,-1
2021-05-12 09:00:00,-1
2021-05-13 09:00:00,1
2021-05-14 09:00:00,-1
2021-05-15 09:00:00,-1
2021-05-16 09:00:00,-1
2021-05-17 09:00:00,-1
2021-05-18 09:00:00,-1
2021-05-19 09:00:00,-1
2021-05-20 09:00:00,1
2021-05-21 09:00:00,-1
2021-05-22 09:00:00,-1
2021-05-23 09:00:00,-1
2021-05-24 09:00:00,1
2021-05-25 09:00:00,1
2021-05-26 09:00:00,1
2021-05-27 09:00:00,-1
2021-05-28 09:00:00,-1
2021-05-29 09:00:00,-1
2021-05-30 09:00:00,1
2021-05-31 09:00:00,1
2021-06-1 09:00:00,-1
2021-06-2 09:00:00,1
2021-06-3 09:00:00,1
2021-06-4 09:00:00,-1
2021-06-5 09:00:00,-1
2021-06-6 09:00:00,-1
2021-06-7 09:00:00,-1
2021-06-8 09:00:00,-1
2021-06-9 09:00:00,1
2021-06-10 09:00:00,-1
2021-06-11 09:00:00,1
2021-06-12 09:00:00,-1
2021-06-13 09:00:00,1
2021-06-14 09:00:00,1
2021-06-15 09:00:00,-1
2021-06-16 09:00:00,-1
2021-06-17 09:00:00,-1
2021-06-18 09:00:00,-1
2021-06-19 09:00:00,-1
2021-06-20 09:00:00,-1
2021-06-21 09:00:00,-1
2021-06-22 09:00:00,1
2021-06-23 09:00:00,1
2021-06-24 09:00:00,1
2021-06-25 09:00:00,-1
2021-06-26 09:00:00,1
2021-06-27 09:00:00,1
2021-06-28 09:00:00,-1
2021-06-29 09:00:00,1
2021-06-30 09:00:00,-1
2021-07-1 09:00:00,-1
2021-07-2 09:00:00,1
2021-07-3 09:00:00,1
2021-07-4 09:00:00,1
2021-07-5 09:00:00,-1
2021-07-6 09:00:00,1
2021-07-7 09:00:00,-1
2021-07-8 09:00:00,-1
2021-07-9 09:00:00,1
2021-07-10 09:00:00,-1
2021-07-11 09:00:00,1
2021-07-12 09:00:00,-1
2021-07-13 09:00:00,-1
2021-07-14 09:00:00,-1
2021-07-15 09:00:00,-1
2021-07-16 09:00:00,-1
2021-07-17 09:00:00,1
2021-07-18 09:00:00,1
2021-07-19 09:00:00,-1
2021-07-20 09:00:00,-1
2021-07-21 09:00:00,1
2021-07-22 09:00:00,-1
2021-07-23 09:00:00,1
2021-07-24 09:00:00,1
2021-07-25 09:00:00,1
2021-07-26 09:00:00,1
2021-07-27 09:00:00,1
2021-07-28 09:00:00,1
2021-07-29 09:00:00,-1
2021-07-30 09:00:00,1
2021-07-31 09:00:00,-1
2021-08-1 09:00:00,-1
2021-08-2 09:00:00,-1
2021-08-3 09:00:00,-1
2021-08-4 09:00:00,1
2021-08-5 09:00:00,1
2021-08-6 09:00:00,1
2021-08-7 09:00:00,1
2021-08-8 09:00:00,-1
2021-08-9 09:00:00,1
2021-08-10 09:00:00,-1
2021-08-11 09:00:00,1
2021-08-12 09:00:00,-1
2021-08-13 09:00:00,1
2021-08-14 09:00:00,-1
2021-08-15 09:00:00,-1
